index,city,state,zipcode,address,loc_name,loc_number,url,promotion,latitude,longitude,is_open,closed_message,delivery_fee,delivery_time,review_count,review_rating,price_bucket,img1,img2,img3,img4,img5,scan_date,TID
10,Guntersville,AL,35976,"14232 U.S. 431, Guntersville, AL 35976",El Camino Real,aef3fc63-e4ec-5aba-a692-cf971ba3e59f,https://www.ubereats.com/store/el-camino-real/aef3fc63-e4ec-5aba-a692-cf971ba3e59f,,34.32115,-86.31148,False,Opens at 11:30 AM,,,,,$$,https://d1ralsognjng37.cloudfront.net/4e2a25f2-5fc5-4a7b-869e-b92659c874bf,https://d1ralsognjng37.cloudfront.net/7f96b52a-3f1d-4ef7-b271-5b643c573901,https://d1ralsognjng37.cloudfront.net/2b4980d5-f3aa-4df3-aaec-c9db1f787a3c,https://d1ralsognjng37.cloudfront.net/bc1dda30-8f1f-4187-a343-5d5dcdb7e9f1,https://d1ralsognjng37.cloudfront.net/8a224236-2aba-4b1d-8466-b29da8eb6ab0,2022-11-09 18:03:43,11
11,Albertville,AL,35950,"8081 Us 431, Albertville, AL 35950",Huddle House (8081 Highway 431),20e213c5-b57d-590a-ab43-f78d55570a55,https://www.ubereats.com/store/huddle-house-8081-highway-431/20e213c5-b57d-590a-ab43-f78d55570a55,,34.28089,-86.21893,False,Opens at 6:00 AM,,,,,$,https://d1ralsognjng37.cloudfront.net/9fa22b71-db8a-4be9-8461-0f6439bf17ac.jpeg,https://d1ralsognjng37.cloudfront.net/538b4825-c526-43ba-b92a-ffd8d49d71f5.jpeg,https://d1ralsognjng37.cloudfront.net/66ccc799-aed5-4877-b4cf-a74cbe32a797.jpeg,https://d1ralsognjng37.cloudfront.net/e7b29bdd-4bf7-4161-8162-9419624cb1ab.jpeg,https://d1ralsognjng37.cloudfront.net/aaf2cfe9-96a5-4321-9c22-34f17602a864.jpeg,2022-11-09 18:03:43,12
12,Boaz,AL,35957,"2263 Us Highway 431, Boaz, AL 35957",Captain D's (2263 US Highway 431),e9973927-8f9e-5058-8a8f-9bf4465dcbc5,https://www.ubereats.com/store/captain-ds-2263-us-highway-431/e9973927-8f9e-5058-8a8f-9bf4465dcbc5,,34.21806,-86.1587,False,Opens at 10:30 AM,,,,,$,https://d1ralsognjng37.cloudfront.net/0b8fc892-04a6-4ca3-998d-02e753e230c6.jpeg,https://d1ralsognjng37.cloudfront.net/e08598ef-9897-44bc-b439-a10d20b7f1e9.jpeg,https://d1ralsognjng37.cloudfront.net/cefd4c56-431c-4354-b62f-f37f05664c1d.jpeg,https://d1ralsognjng37.cloudfront.net/59352d43-ec9d-4237-bffa-5013a04cdc4c.jpeg,https://d1ralsognjng37.cloudfront.net/5b2d4a12-aad3-42b6-98ed-b3d0819d8ac3.jpeg,2022-11-09 18:03:43,13
13,Guntersville,AL,35976,"3848 Alabama Highway 79 South, Guntersville, AL 35976",Char Burger,c15e2099-0c42-5974-9d56-ce073d69d085,https://www.ubereats.com/store/char-burger/c15e2099-0c42-5974-9d56-ce073d69d085,,34.31534,-86.33457,False,Opens at 7:30 AM,,,,,$$,https://duyt4h9nfnj50.cloudfront.net/resized/1528911206513-w2880-44.jpg,https://duyt4h9nfnj50.cloudfront.net/resized/1528911206513-w240-f9.jpg,https://duyt4h9nfnj50.cloudfront.net/resized/1528911206513-w640-02.jpg,https://duyt4h9nfnj50.cloudfront.net/resized/1528911206513-w550-ba.jpg,https://duyt4h9nfnj50.cloudfront.net/resized/1528911206513-w750-f2.jpg,2022-11-09 18:03:43,14
14,Guntersville,AL,35976,"12383 U.S. 431, Guntersville, AL 35976",Jessy Tacos Y Tortas,f6490d88-a10e-4a4c-9afd-d8dd3f2a2324,https://www.ubereats.com/store/jessy-tacos-y-tortas/f6490d88-a10e-4a4c-9afd-d8dd3f2a2324,,34.30485,-86.28731,False,Opens at 11:00 AM,,,,,,https://d1ralsognjng37.cloudfront.net/4efb1153-828d-457f-bec9-544018f917fb.webp,https://d1ralsognjng37.cloudfront.net/d29a9000-fcbe-49ea-acd0-c039bf85d4f2.webp,https://d1ralsognjng37.cloudfront.net/45fa22ba-a49c-4cad-8889-d1b960b42e9c.webp,https://d1ralsognjng37.cloudfront.net/6aea0ac2-12c9-4286-ad18-7c2623dec820.webp,https://d1ralsognjng37.cloudfront.net/05d629e6-c3dc-4fe0-ad54-4e22fdb25fa3.webp,2022-11-09 18:03:43,15
15,Albertville,AL,35950,"110 East Main Street, Albertville, AL 35950",Jamoka's Coffee,820c7bff-7300-58b1-9e9e-36ff3b534e32,https://www.ubereats.com/store/jamokas-coffee/820c7bff-7300-58b1-9e9e-36ff3b534e32,,34.26793,-86.20816,False,Opens at 7:30 AM,,,,,$$,https://d1ralsognjng37.cloudfront.net/fd8419f2-789c-4959-986e-8e2dcbbeb34d,https://d1ralsognjng37.cloudfront.net/20112a9a-3cb8-4b69-be67-8ac8b6a7cc0f,https://d1ralsognjng37.cloudfront.net/1590886e-6b27-4b95-a615-fc0ec01da4c9,https://d1ralsognjng37.cloudfront.net/026902bb-09d9-407d-ba2c-d7a535a15c5d,https://d1ralsognjng37.cloudfront.net/80bfa2a4-9afc-40cb-86b5-778fc10ba79e,2022-11-09 18:03:43,16
16,Boaz,AL,35957,"10850 Alabama 168, Boaz, AL 35957",Dale's BBQ,684558bc-2b37-4a62-a35c-043a26bf38cd,https://www.ubereats.com/store/dales-bbq/684558bc-2b37-4a62-a35c-043a26bf38cd,,34.19823,-86.1528,False,Opens at 10:30 AM,,,,,$$,https://d1ralsognjng37.cloudfront.net/4762e7a6-0d12-46da-add9-de5b13a7b089.jpeg,https://d1ralsognjng37.cloudfront.net/7896b961-52d2-4fab-a37e-6cb8526f6736.jpeg,https://d1ralsognjng37.cloudfront.net/0f5005df-aac6-40fc-9799-d8b2b3ba0d07.jpeg,https://d1ralsognjng37.cloudfront.net/a311edc7-df97-4e01-a0ef-b832b9aa47e9.jpeg,https://d1ralsognjng37.cloudfront.net/78a08874-f760-4972-8e0c-7e3fc25e87aa.jpeg,2022-11-09 18:03:43,17
17,Albertville,AL,35950,"128 Alabama Highway 75, Albertville, AL 35950",Buffalo Wild Wings (128 AL Hwy 75),00392c7e-5fa0-56ff-9be1-bab2e29d819e,https://www.ubereats.com/store/buffalo-wild-wings-128-al-hwy-75/00392c7e-5fa0-56ff-9be1-bab2e29d819e,,34.27714,-86.20312,False,Opens at 11:00 AM,,,13.0,4.0,$$,https://tb-static.uber.com/prod/image-proc/processed_images/2fe968548ca3a33ebc31dd29517011fe/3ac2b39ad528f8c8c5dc77c59abb683d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/2fe968548ca3a33ebc31dd29517011fe/719c6bd2757b08684c0faae44d43159d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/2fe968548ca3a33ebc31dd29517011fe/93b5fd796682c6d5302cd5bec164fe90.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/2fe968548ca3a33ebc31dd29517011fe/97e6648b3593c29cb4a6335f976e6d84.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/2fe968548ca3a33ebc31dd29517011fe/a70f5c9df440d10213e93244e9eb7cad.jpeg,2022-11-09 18:03:43,18
18,Albertville,AL,35950,"7921 Us Highway 431, Albertville, AL 35950",Wendy's (7921 Us Highway 431),f287be94-5d7f-529a-b199-f78f11baa84e,https://www.ubereats.com/store/wendys-7921-us-highway-431/f287be94-5d7f-529a-b199-f78f11baa84e,,34.27963,-86.21645,False,Opens at 6:30 AM,,,,,$,https://tb-static.uber.com/prod/image-proc/processed_images/c63d052b73170f4d672bf961e731467a/3ac2b39ad528f8c8c5dc77c59abb683d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/c63d052b73170f4d672bf961e731467a/719c6bd2757b08684c0faae44d43159d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/c63d052b73170f4d672bf961e731467a/93b5fd796682c6d5302cd5bec164fe90.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/c63d052b73170f4d672bf961e731467a/97e6648b3593c29cb4a6335f976e6d84.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/c63d052b73170f4d672bf961e731467a/a70f5c9df440d10213e93244e9eb7cad.jpeg,2022-11-09 18:03:43,19
19,Guntersville,AL,35976,"Paddle Wheel Drive, Guntersville, AL 35976",Another Broken Egg (2469 Paddlewheel Drive),d00ae689-5032-5dfb-8f7d-0f449c7d5164,https://www.ubereats.com/store/another-broken-egg-2469-paddlewheel-drive/d00ae689-5032-5dfb-8f7d-0f449c7d5164,,34.36169,-86.29084,False,Opens at 7:00 AM,,,,,$$,,,,,,2022-11-09 18:03:43,20
20,Guntersville,AL,35976,"1441 Sunset Drive, Guntersville, AL 35976",Papa John's (1441 Sunset Drive),6dd9065c-8937-564a-9ca0-0f41bd62ade5,https://www.ubereats.com/store/papa-johns-1441-sunset-drive/6dd9065c-8937-564a-9ca0-0f41bd62ade5,"Spend $25, Save $5",34.35305,-86.31542,False,Opens at 10:00 AM,,,11.0,4.9,$$,https://tb-static.uber.com/prod/image-proc/processed_images/dc01951e2e0bfb50082ed903e1f848fc/3ac2b39ad528f8c8c5dc77c59abb683d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/dc01951e2e0bfb50082ed903e1f848fc/719c6bd2757b08684c0faae44d43159d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/dc01951e2e0bfb50082ed903e1f848fc/93b5fd796682c6d5302cd5bec164fe90.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/dc01951e2e0bfb50082ed903e1f848fc/97e6648b3593c29cb4a6335f976e6d84.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/dc01951e2e0bfb50082ed903e1f848fc/a70f5c9df440d10213e93244e9eb7cad.jpeg,2022-11-09 18:03:43,21
21,Guntersville,AL,35976,"11521 Us Highway 431, Guntersville, AL 35976",Cicis Pizza  (11521 Us Highway 431),07b0f67e-4288-57e1-94ae-ed7152d69bd4,https://www.ubereats.com/store/cicis-pizza-11521-us-highway-431/07b0f67e-4288-57e1-94ae-ed7152d69bd4,,34.29896,-86.27599,False,Opens at 11:00 AM,,,,,$,https://d1ralsognjng37.cloudfront.net/f10fe04e-0036-41d0-8619-858165d49479.jpeg,https://d1ralsognjng37.cloudfront.net/a2ae5ce1-f367-4d4e-9a0b-a591095148d4.jpeg,https://d1ralsognjng37.cloudfront.net/042b6944-38ad-42dd-9e11-1a79b55f69d7.jpeg,https://d1ralsognjng37.cloudfront.net/4ae5ee7b-26bd-4e38-8be3-1a5ff0f7a60c.jpeg,https://d1ralsognjng37.cloudfront.net/15a6226f-bccd-4fe0-928e-b15455b2c660.jpeg,2022-11-09 18:03:43,22
22,Albertiville,AL,35950,"755 Hwy 431, Albertiville, AL 35950",Jack's (755 Hwy 431),b28951a0-1756-5045-8c93-b07060e5c76d,https://www.ubereats.com/store/jacks-755-hwy-431/b28951a0-1756-5045-8c93-b07060e5c76d,,34.27301,-86.19966,False,Opens at 6:00 AM,,,,,$,https://tb-static.uber.com/prod/image-proc/processed_images/b8fa7a839f1fa4dbd3ef9011375245a1/3ac2b39ad528f8c8c5dc77c59abb683d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/b8fa7a839f1fa4dbd3ef9011375245a1/719c6bd2757b08684c0faae44d43159d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/b8fa7a839f1fa4dbd3ef9011375245a1/93b5fd796682c6d5302cd5bec164fe90.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/b8fa7a839f1fa4dbd3ef9011375245a1/97e6648b3593c29cb4a6335f976e6d84.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/b8fa7a839f1fa4dbd3ef9011375245a1/a70f5c9df440d10213e93244e9eb7cad.jpeg,2022-11-09 18:03:43,23
23,Albertville,AL,35950,"7285 Us Hwy 431, Albertville, AL 35950",KFC (7285 U.S. Highway 431),b0a44f22-567e-496c-a214-32a05a33b9f3,https://www.ubereats.com/store/kfc-7285-us-highway-431/b0a44f22-567e-496c-a214-32a05a33b9f3,,34.27602,-86.20622,False,Opens at 10:30 AM,,,,,$,https://d1ralsognjng37.cloudfront.net/e49579f2-20c2-4f0d-9a16-6945cfa93edd.jpeg,https://d1ralsognjng37.cloudfront.net/3b772305-c298-42a1-a360-48b7c3fd2e6f.jpeg,https://d1ralsognjng37.cloudfront.net/4c6cbbd9-60c0-4284-8c81-70cc45807071.jpeg,https://d1ralsognjng37.cloudfront.net/ca340144-8602-4be6-af4c-ea5151354326.jpeg,https://d1ralsognjng37.cloudfront.net/4545b205-9136-4478-a405-ed5e8129d9d2.jpeg,2022-11-09 18:03:43,24
24,Albertville,AL,35950,"7448 Us Hwy 431, Albertville, AL 35950",Arby's (7448 US Hwy 431),f5d17446-186c-5a9a-a658-90ddba697122,https://www.ubereats.com/store/arbys-7448-us-hwy-431/f5d17446-186c-5a9a-a658-90ddba697122,$0 Delivery Fee (Spend $20),34.27813,-86.20833,False,Opens at 10:00 AM,,,,,$,https://tb-static.uber.com/prod/image-proc/processed_images/59ba3630894d05385ea9e1d826f60fcb/3ac2b39ad528f8c8c5dc77c59abb683d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/59ba3630894d05385ea9e1d826f60fcb/719c6bd2757b08684c0faae44d43159d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/59ba3630894d05385ea9e1d826f60fcb/93b5fd796682c6d5302cd5bec164fe90.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/59ba3630894d05385ea9e1d826f60fcb/97e6648b3593c29cb4a6335f976e6d84.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/59ba3630894d05385ea9e1d826f60fcb/a70f5c9df440d10213e93244e9eb7cad.jpeg,2022-11-09 18:03:43,25
25,Albertville,AL,35950,"8171 Us Highway 431, Albertville, AL 35950",Dunkin' (8171 Us Highway 431),281f7017-04bf-55d9-aa5a-9e2b8eb2529e,https://www.ubereats.com/store/dunkin-8171-us-highway-431/281f7017-04bf-55d9-aa5a-9e2b8eb2529e,,34.28124,-86.21997,False,Opens at 5:00 AM,,,,,,,,,,,2022-11-09 18:03:43,26
26,Albertville,AL,35950,"7661 U.S. 431 Ste 100, Albertville, AL 35950",Tropical Smoothie Cafe (7661 US Highway 431 Ste 100),640dd1e3-129b-554c-b43d-68858ac9dc6b,https://www.ubereats.com/store/tropical-smoothie-cafe-7661-us-highway-431-ste-100/640dd1e3-129b-554c-b43d-68858ac9dc6b,"Spend $20, Save $5",34.278415065541,-86.21190779422086,False,Opens at 7:00 AM,,,,,$,https://d1ralsognjng37.cloudfront.net/d10fda09-c723-46f7-a4ff-1f2eaf3802f9.jpeg,https://d1ralsognjng37.cloudfront.net/97019e6c-be3f-4a8e-982b-83d798af46e8.jpeg,https://d1ralsognjng37.cloudfront.net/6f620270-365c-4c09-96e3-3d0b1473057d.jpeg,https://d1ralsognjng37.cloudfront.net/15fbd986-0990-42ed-bf04-a26503ff0143.jpeg,https://d1ralsognjng37.cloudfront.net/6cb6e4db-cb91-46a5-87d0-6529dfda7916.jpeg,2022-11-09 18:03:43,27
27,Albertville,AL,35950,"6815 Hwy 431 South, Albertville, AL 35950",Pizza Hut (6815 Hwy 431 South),802da8cf-c709-5248-87fc-ec042e3eebbd,https://www.ubereats.com/store/pizza-hut-6815-hwy-431-south/802da8cf-c709-5248-87fc-ec042e3eebbd,,34.27301,-86.19966,False,Opens at 10:00 AM,,,,,$,https://tb-static.uber.com/prod/image-proc/processed_images/b44b50dd3ff8cb53bd17f6df3abc8125/c73ecc27d2a9eaa735b1ee95304ba588.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/b44b50dd3ff8cb53bd17f6df3abc8125/445a4b2618e10f7db95d4f17a85b117d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/b44b50dd3ff8cb53bd17f6df3abc8125/1651207c9cb2a7942b37b3f3e4a0b899.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/b44b50dd3ff8cb53bd17f6df3abc8125/1153e79d90aa7e9dd2351e1aa8dc4e16.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/b44b50dd3ff8cb53bd17f6df3abc8125/820883a48567670acbd720bc76391291.jpeg,2022-11-09 18:03:43,28
28,Albertville,AL,35950,"711 Miller Street, Albertville, AL 35950",Giovanni's Pizza Italian Restaurant,8d0d7aea-0c80-4f94-b88e-15fffb5cd8ed,https://www.ubereats.com/store/giovannis-pizza-italian-restaurant/8d0d7aea-0c80-4f94-b88e-15fffb5cd8ed,,34.27446,-86.20232,False,Opens at 12:30 PM,,,,,$$,https://d1ralsognjng37.cloudfront.net/d235e830-35cd-48af-8179-1dc8aa7733e7,https://d1ralsognjng37.cloudfront.net/a422b47d-e206-45a8-9959-3eae9b51e45b,https://d1ralsognjng37.cloudfront.net/02d3d32e-2a02-4bb7-8b0f-88a4a4da653a,https://d1ralsognjng37.cloudfront.net/9a236ff3-f198-4d5d-b326-9d65bda5800c,https://d1ralsognjng37.cloudfront.net/2eaa1fee-1984-4910-9f44-3dda0456ed8d,2022-11-09 18:03:43,29
29,Boaz,AL,35957,"425 S Mccleskey St #544, Boaz, AL 35957",Grumpy's,85ebb9f5-a455-43b5-b750-42c071567760,https://www.ubereats.com/store/grumpys/85ebb9f5-a455-43b5-b750-42c071567760,,34.19646,-86.15806,False,Opens at 6:30 AM,,,,,$$,https://duyt4h9nfnj50.cloudfront.net/resized/1538058973840-w2880-85.jpg,https://duyt4h9nfnj50.cloudfront.net/resized/1538058973840-w640-44.jpg,https://duyt4h9nfnj50.cloudfront.net/resized/1538058973840-w240-cc.jpg,https://duyt4h9nfnj50.cloudfront.net/resized/1538058973840-w550-f2.jpg,https://duyt4h9nfnj50.cloudfront.net/resized/1538058973840-w750-05.jpg,2022-11-09 18:03:43,30
